input_data,output_labels
"[[68.99904, 587.99952, 742.99968, 587.99952, 742.99968, 1080.0, 68.99904, 1080.0], [116.99903999999998, 366.00066000000004, 562.9996799999999, 366.00066000000004, 562.9996799999999, 1076.00022, 116.99903999999998, 1076.00022], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(68.99904, 366.00066000000004, 742.99968, 366.00066000000004, 742.99968, 1080.0, 68.99904, 1080.0)"
"[[190.99967999999996, 650.00016, 1182.0, 650.00016, 1182.0, 1076.9997600000002, 190.99967999999996, 1076.9997600000002], [473.9999999999999, 448.99974000000003, 781.00032, 448.99974000000003, 781.00032, 1076.99922, 473.9999999999999, 1076.99922], [195.99936000000002, 557.99982, 529.9987199999999, 557.99982, 529.9987199999999, 1078.99938, 195.99936000000002, 1078.99938], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(190.99967999999996, 448.99974000000003, 1182.0, 448.99974000000003, 1182.0, 1078.99938, 190.99967999999996, 1078.99938)"
"[[1258.00032, 485.99946, 1305.0, 485.99946, 1305.0, 553.9995, 1258.00032, 553.9995], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(2000, 2000, 0, 2000, 0, 0, 2000, 0)"
"[[944.9990399999999, 630.00018, 1198.99968, 630.00018, 1198.99968, 1074.0000599999998, 944.9990399999999, 1074.0000599999998], [925.0012800000001, 475.9997400000001, 1186.00032, 475.9997400000001, 1186.00032, 889.99938, 925.0012800000001, 889.99938], [906.0000000000001, 488.9997, 1206.0, 488.9997, 1206.0, 1017.9998999999999, 906.0000000000001, 1017.9998999999999], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(906.0000000000001, 475.9997400000001, 1206.0, 475.9997400000001, 1206.0, 1074.0000599999998, 906.0000000000001, 1074.0000599999998)"
"[[1856.9990400000002, 593.99946, 1916.9990400000002, 593.99946, 1916.9990400000002, 666.9999, 1856.9990400000002, 666.9999], [1658.00064, 463.00032, 1884.0, 463.00032, 1884.0, 846.00072, 1658.00064, 846.00072], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1658.00064, 463.00032, 1916.9990400000002, 463.00032, 1916.9990400000002, 846.00072, 1658.00064, 846.00072)"
"[[1648.0003199999999, 601.0000200000001, 1920.00096, 601.0000200000001, 1920.00096, 1075.0001399999999, 1648.0003199999999, 1075.0001399999999], [1658.00064, 463.00032, 1884.0, 463.00032, 1884.0, 846.00072, 1658.00064, 846.00072], [1386.9993600000003, 499.0005, 1711.9996800000001, 499.0005, 1711.9996800000001, 1076.0002200000001, 1386.9993600000003, 1076.0002200000001], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1386.9993600000003, 463.00032, 1920.00096, 463.00032, 1920.00096, 1076.0002200000001, 1386.9993600000003, 1076.0002200000001)"
"[[1224.00096, 774.9998999999999, 1876.00032, 774.9998999999999, 1876.00032, 1079.99946, 1224.00096, 1079.99946], [1658.00064, 463.00032, 1884.0, 463.00032, 1884.0, 846.00072, 1658.00064, 846.00072], [1386.9993600000003, 499.0005, 1711.9996800000001, 499.0005, 1711.9996800000001, 1076.0002200000001, 1386.9993600000003, 1076.0002200000001], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1224.00096, 463.00032, 1884.0, 463.00032, 1884.0, 1079.99946, 1224.00096, 1079.99946)"
"[[185.99999999999997, 675.0, 603.99936, 675.0, 603.99936, 1077.99984, 185.99999999999997, 1077.99984], [250.99967999999996, 422.99981999999994, 442.99968, 422.99981999999994, 442.99968, 1009.00026, 250.99967999999996, 1009.00026], [384.0, 439.99956000000003, 633.99936, 439.99956000000003, 633.99936, 1065.9999599999999, 384.0, 1065.9999599999999], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(185.99999999999997, 422.99981999999994, 633.99936, 422.99981999999994, 633.99936, 1077.99984, 185.99999999999997, 1077.99984)"
"[[258.99936, 575.00064, 389.99904, 575.00064, 389.99904, 732.00024, 258.99936, 732.00024], [274.00032000000004, 494.99964, 337.00128, 494.99964, 337.00128, 629.99964, 274.00032000000004, 629.99964], [321.99935999999997, 495.99971999999997, 408.0, 495.99971999999997, 408.0, 683.99964, 321.99935999999997, 683.99964], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(258.99936, 494.99964, 408.0, 494.99964, 408.0, 732.00024, 258.99936, 732.00024)"
"[[1342.00032, 661.9995, 1900.0003199999999, 661.9995, 1900.0003199999999, 1079.99946, 1342.00032, 1079.99946], [1674.0000000000002, 517.99986, 1849.00032, 517.99986, 1849.00032, 1022.00022, 1674.0000000000002, 1022.00022], [1528.99968, 541.00008, 1706.9990400000002, 541.00008, 1706.9990400000002, 1053.0, 1528.99968, 1053.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","(1342.00032, 517.99986, 1900.0003199999999, 517.99986, 1900.0003199999999, 1079.99946, 1342.00032, 1079.99946)"
