input_data	output_labels
[[0.211458, 0.772222, 0.351042, 0.455556], [0.177083, 0.667593, 0.232292, 0.657407]]	(577.2955307668954, 593.5226459272739, 674.00064, 406.50048000000004, -252.29951999999997, -667.7, 0.0)
[[0.357552, 0.799537, 0.516146, 0.39537], [0.326823, 0.706481, 0.159896, 0.581481], [0.189062, 0.75787, 0.173958, 0.482407]]	(2713.954262179905, 1836.7399744170887, 991.0003200000001, 429.99983999999995, -193.40016000000003, -574.8997600000001, 3.000239999999849)
[[0.667448, 0.481481, 0.024479, 0.062963]]	(41438.12784043716, 17469.901198173477, 46.9996799999999, 593.00054, 26.00054, -68.09950000000003, 525.0005)
[[0.558333, 0.788889, 0.132292, 0.411111], [0.54974, 0.632407, 0.135937, 0.383333], [0.55, 0.697685, 0.15625, 0.489815]]	(8761.807407407407, 5662.940740740741, 254.00063999999998, 443.99982, -158.00018, -602.0000599999998, -5.999999984851456e-05)
[[0.982812, 0.583796, 0.03125, 0.067593], [0.922396, 0.606019, 0.117708, 0.35463]]	(2440.4168022722324, 979.7256620788733, 60.0, 320.60054, -130.99946, -200.3999, 408.0001)
[[0.929167, 0.775926, 0.141667, 0.438889], [0.922396, 0.606019, 0.117708, 0.35463], [0.807031, 0.729167, 0.169271, 0.534259]]	(2440.4168022722324, 979.7256620788733, 272.0006400000002, 313.59997999999996, -138.00002000000006, -608.4001399999999, -0.00013999999987390765)
[[0.807292, 0.858796, 0.339583, 0.282407], [0.922396, 0.606019, 0.117708, 0.35463], [0.807031, 0.729167, 0.169271, 0.534259]]	(41438.12784043716, 17469.901198173477, 651.99936, 304.0001000000001, -262.9998999999999, -594.09946, -0.9994599999999991)
[[0.205729, 0.811574, 0.217708, 0.373148], [0.180729, 0.662963, 0.1, 0.542593], [0.265104, 0.697222, 0.130208, 0.57963]]	(824.7095425214181, 923.8086422691645, 417.99936, 339.1, -139.5, -806.2998399999999, 2.000160000000051)
[[0.16901, 0.605093, 0.068229, 0.14537], [0.159115, 0.520833, 0.032813, 0.125], [0.190104, 0.546296, 0.044792, 0.174074]]	(-357.96753737277356, -564.0979444974555, 130.99967999999996, 156.99936000000002, -81.00063999999998, -238.00023999999996, -0.00023999999996249244)
[[0.844271, 0.806481, 0.290625, 0.387037], [0.917448, 0.712963, 0.091146, 0.466667], [0.842708, 0.737963, 0.092708, 0.474074]]	(37638.52285239081, 14321.457945334705, 557.9999999999998, 417.0005, 9.300499999999943, -713.09946, -0.9994599999999991)
[[0.825, 0.777778, 0.346875, 0.444444], [0.891146, 0.709259, 0.177083, 0.581481]]	(36843.75654562645, 13468.39499814012, 666.0000000000002, 479.9995200000001, 96.19952000000012, -760.0, 0.0)
[[0.010417, 0.509259, 0.01875, 0.107407]]	(-13.138451884720542, -174.77598494016405, 36.0, 115.00006000000002, -87.99993999999998, -203.9995, -0.9995000000000118)
[[0.80026, 0.8125, 0.370312, 0.371296], [0.8125, 0.775926, 0.139583, 0.448148]]	(-11708.313266494344, -4685.427504211134, 710.9990399999999, 402.99984000000006, 57.99984000000006, -642.3998399999999, 2.000160000000051)
[[0.534115, 0.580093, 0.024479, 0.060185]]	(-1556.322444813066, -900.834311598826, 46.9996799999999, 64.99946, -34.00054, -99.00033999999994, -0.0003399999999373904)
[[0.114583, 0.666667, 0.138542, 0.161111], [0.163542, 0.593519, 0.028125, 0.168519], [0.152865, 0.59213, 0.024479, 0.165741], [0.125, 0.580556, 0.028125, 0.138889], [0.1, 0.758796, 0.105208, 0.482407]]	(-138.97648663131156, -230.38230532080277, 266.00064, 152.99958000000004, 5.799579999999992, -352.10030000000006, -53.10030000000006)
[[0.115365, 0.865278, 0.200521, 0.267593], [0.1, 0.758796, 0.105208, 0.482407]]	(-7978.618210661524, -13888.015343324381, 385.00032000000004, 288.99997999999994, -89.90002000000004, -742.50046, -0.00045999999997548)
[[0.359115, 0.445833, 0.015104, 0.037963]]	(-992.1280032303654, -666.6081162931557, 28.999680000000012, 40.00038000000001, -19.999619999999993, -60.99965999999995, -0.9996599999999489)
[[0.298177, 0.468981, 0.023438, 0.069444]]	(-677.1645329540066, -548.1009957325747, 45.00095999999985, 74.00028000000003, -30.999719999999968, -105.99923999999999, -0.9992399999999861)
[[0.075521, 0.802315, 0.15, 0.39537], [0.086979, 0.732407, 0.172917, 0.535185]]	(634.8404821158445, 1676.5753671985556, 288.00000000000006, 426.9996, -159.0004, -586.0, 0.0)
[[0.558854, 0.484259, 0.051042, 0.064815], [0.565104, 0.523611, 0.042708, 0.149074]]	(-711.5267785771383, -331.03117505995203, 98.00064000000009, 69.00038, -0.9996199999999931, -70.99982, -0.9998199999999997)
[[0.6625, 0.47963, 0.009375, 0.02037]]	(3005.326447149408, 1596.9337111137543, 17.999999999999773, 269.79939999999993, -42.70060000000001, -41.50019999999995, 322.5998000000001)
[[0.657813, 0.476852, 0.009375, 0.027778]]	(3005.326447149408, 1596.9337111137543, 17.999999999999773, 276.79995999999994, -35.70004, -42.500279999999975, 321.59972000000005)
[[0.451562, 0.525463, 0.041667, 0.121296], [0.441146, 0.489815, 0.028125, 0.12963], [0.448437, 0.490741, 0.0375, 0.122222]]	(3980.5687142157494, 2499.0855424780216, 80.00063999999998, 108.59979999999996, -49.20020000000005, -158.99988000000008, 16.80011999999988)
[[0.568229, 0.564352, 0.052083, 0.139815], [0.565104, 0.523611, 0.042708, 0.149074], [0.627083, 0.588426, 0.086458, 0.284259]]	(4110.238123903993, 2156.8937789884826, 99.99936000000025, 120.69994000000008, -50.00005999999996, -202.80026000000004, 14.299739999999929)
[[0.504427, 0.577315, 0.058854, 0.167593], [0.502344, 0.527315, 0.052604, 0.171296]]	(2277.3742946845637, 1366.3342854322195, 112.9996799999999, 134.70002, -64.89998000000003, -237.00042000000008, 19.599579999999946)
